token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	θαυμαστός	a-s---nn-	θαυμαστός	θαυμαστός	a-s---nn-	a-s---nn-	
2	γε	g--------	γε	γε	d--------	g--------	
3	,	u--------	,	,	u--------	u--------	
4	ὦ	i--------	ὦ	ὦ	i--------	i--------	
5	βουλή	n-s---fv-	βουλή	βουλή	n-s---fv-	n-s---fv-	
6	,	u--------	,	,	u--------	u--------	
7	ὁ	l-s---nn-	ὁ	ὁ	l-s---nn-	l-s---nn-	
8	διαμάχομαι	v--pnm---	διαμάχομαι	διαμάχομαι	v--pne---	v--pnm---	
9	περί	r--------	περί	περί	r--------	r--------	
10	οὗτος	p-s---ng-	οὗτος	οὗτος	p-s---ng-	p-s---ng-	
11	,	u--------	,	,	u--------	u--------	
12	ὡς	c--------	ὡς	ὡς	c--------	c--------	
13	οὐ	d--------	οὐ	οὐ	d--------	d--------	
14	γίγνομαι	v3paim---	γίγνομαι	γίγνομαι	v3paim---	v3paim---	
15	ἐγώ	p-p---cd-	ἐγώ	ἐγώ	p1p---md-	p-p---cd-	
16	διαλλαγή	n-p---fn-	διαλλαγή	διαλλαγή	n-p---fn-	n-p---fn-	
17	,	u--------	,	,	u--------	u--------	
18	καί	c--------	καί	καί	d--------	c--------	
19	ὁ	l-s---na-	ὁ	ὁ	l-s---na-	l-s---na-	
20	μέν	g--------	μέν	μέν	d--------	g--------	
21	ζεῦγος	n-s---na-	ζεῦγος	ζεῦγος	n-s---na-	n-s---na-	
22	καί	c--------	καί	καί	d--------	c--------	
23	ὁ	l-p---na-	ὁ	ὁ	l-p---nn-	l-p---na-	
24	ἀνδράποδον	n-p---na-	ἀνδράποδον	ἀνδράποδον	n-p---nn-	n-p---na-	
25	,	u--------	,	,	u--------	u--------	
26	καί	c--------	καί	καί	c--------	c--------	
27	ὅσος	p-p---na-	ὅσος	ὅσος	a-p---na-	p-p---na-	
28	ἐκ	r--------	ἐκ	ἐκ	r--------	r--------	
29	ἀγρός	n-s---mg-	ἀγρός	ἀγρός	n-s---mg-	n-s---mg-	
30	κατά	r--------	κατά	κατά	r--------	r--------	
31	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
32	ἀντίδοσις	n-s---fa-	ἀντίδοσις	ἀντίδοσις	n-s---fa-	n-s---fa-	
33	λαμβάνω	v3saia---	λαμβάνω	λαμβάνω	v3saia---	v3saia---	
34	,	u--------	,	,	u--------	u--------	
35	μή	d--------	μή	μή	d--------	d--------	
36	ἄν	g--------	ἄν	ἄν	d--------	g--------	
37	δύναμαι	v--pnm---	δύναμαι	δύναμαι	v--pne---	v--pnm---	
38	ἀρνέομαι	v--anm---	ἀρνέομαι	ἀρνέομαι	v--anp---	v--anm---	
39	ὡς	c--------	ὡς	ὡς	c--------	c--------	
40	οὐ	d--------	οὐ	οὐ	d--------	d--------	
41	ἀποδίδωμι	v3saia---	ἀποδίδωμι	ἀποδίδωμι	v3saia---	v3saia---	
42	,	u--------	,	,	u--------	u--------	
43	φανερός	d--------	φανερός	φανερός	d--------	d--------	
44	δέ	c--------	δέ	δέ	c--------	c--------	
45	περί	r--------	περί	περί	r--------	r--------	
46	πᾶς	p-p---ng-	πᾶς	πᾶς	a-p---ng-	p-p---ng-	
47	διαλύω	v-srpmna-	συνόρω	διαλύω	v-srpema-	v-srpmna-	DISAGREE
48	ἀρνέομαι	v--pnm---	ἀρνέομαι	ἀρνέομαι	v--pne---	v--pnm---	
49	ὁ	l-p---na-	ὁ	ὁ	l-p---na-	l-p---na-	
50	περί	r--------	περί	περί	r--------	r--------	
51	ὁ	l-s---fg-	ὁ	ὁ	l-s---fg-	l-s---fg-	
52	ἄνθρωπος	n-s---fg-	ἄνθρωπος	ἄνθρωπος	n-s---fg-	n-s---fg-	
53	,	u--------	,	,	u--------	u--------	
54	μή	d--------	μή	μή	d--------	d--------	
55	κοινῇ	d--------	κοινῇ	κοινῇ	d--------	d--------	
56	ἐγώ	p-p---ca-	ἐγώ	ἐγώ	p1p---ca-	p-p---ca-	
57	χράω	v--pnm---	χράω	χράω	v--pne---	v--pnm---	
58	συγχωρέω	v--ana---	συγχωρέω	συγχωρέω	v--ana---	v--ana---	
59	.	u--------	.	.	u--------	u--------	
60	καί	c--------	καί	καί	d--------	c--------	
61	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
62	μέν	g--------	μέν	μέν	d--------	g--------	
63	ἀντίδοσις	n-s---fa-	ἀντίδοσις	ἀντίδοσις	n-s---fa-	n-s---fa-	
64	διά	r--------	διά	διά	r--------	r--------	
65	ἐκεῖνος	p-s---fa-	ἐκεῖνος	ἐκεῖνος	p-s---fa-	p-s---fa-	
66	φανερός	a-s---mn-	φανερός	φανερός	a-s---mn-	a-s---mn-	
67	εἰμί	v3spia---	εἰμί	εἰμί	v3spia---	v3spia---	
68	ποιέω	v-sapmmn-	ποιέω	ποιέω	v-sapmmn-	v-sapmmn-	
69	,	u--------	,	,	u--------	u--------	
70	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
71	δέ	c--------	δέ	δέ	c--------	c--------	
72	αἰτία	n-s---fa-	αἰτία	αἰτία	n-s---fa-	n-s---fa-	
73	διά	r--------	διά	διά	r--------	r--------	
