token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	ὅστις	p-s---na-	ὅτι	ὅστις	c--------	p-s---na-	DISAGREE
2	μέν	g--------	μέν	μέν	d--------	g--------	
3	σύ	p2p---cn-	σύ	σύ	p-p---mn-	p2p---cn-	
4	,	u--------	,	,	u--------	u--------	
5	ὦ	i--------	ὦ	ὦ	i--------	i--------	
6	ἀνήρ	n-p---mv-	ἀνήρ	ἀνήρ	n-p---mv-	n-p---mv-	
7	Ἀθηναῖος	a-p---mv-	ἀθηναῖος	Ἀθηναῖος	a-p---mv-	a-p---mv-	
8	,	u--------	,	,	u--------	u--------	
9	πάσχω	v2pria---	πάσχω	πάσχω	v2pria---	v2pria---	
10	ὑπό	r--------	ὑπό	ὑπό	r--------	r--------	
11	ὁ	l-p---mg-	ὁ	ὁ	l-p---mg-	l-p---mg-	
12	ἐμός	a-p---mg-	ἐμός	ἐμός	a-p---mg-	a-p---mg-	
13	κατήγορος	a-p---fg-	κατήγορος	κατήγορος	a-p---mg-	a-p---fg-	
14	,	u--------	,	,	u--------	u--------	
15	οὐ	d--------	οὐ	οὐ	d--------	d--------	
16	οἶδα	v1sria---	οἶδα	οἶδα	v1sria---	v1sria---	
17	·	u--------	·	·	u--------	u--------	
18	ἐγώ	p1s---cn-	ἐγώ	ἐγώ	p1s---mn-	p1s---cn-	
19	δέ	b--------	δέ	δέ	d--------	b--------	
20	οὖν	g--------	οὖν	οὖν	d--------	g--------	
21	καί	d--------	καί	καί	d--------	d--------	
22	αὐτός	p-s---mn-	αὐτός	αὐτός	a-s---mn-	p-s---mn-	
23	ὑπό	r--------	ὑπό	ὑπό	r--------	r--------	
24	αὐτός	p-p---mg-	αὐτός	αὐτός	p-p---mg-	p-p---mg-	
25	ὀλίγος	a-s---mg-	ὀλίγος	ὀλίγος	a-s---ng-	a-s---mg-	
26	ἐμαυτοῦ	p-s---mg-	ἐμαυτοῦ	ἐμαυτοῦ	p-s---mg-	p-s---mg-	
27	ἐπιλανθάνω	v1saim---	ἐπιλανθάνω	ἐπιλανθάνω	v1saim---	v1saim---	
28	,	u--------	,	,	u--------	u--------	
