token_ref	lemma	postag	oga_lemma	glaux_lemma	oga_postag	glaux_postag	notes
1	εἰ	c--------	εἰ	εἰ	c--------	c--------	
2	μέν	g--------	μέν	μέν	d--------	g--------	
3	ὅμοιος	a-s---mn-	ὅμοιος	ὅμοιος	a-s---mn-	a-s---mn-	
4	εἰμί	v3siia---	εἰμί	εἰμί	v3siia---	v3siia---	
5	ὁ	l-s---mn-	ὁ	ὁ	l-s---mn-	l-s---mn-	
6	λόγος	n-s---mn-	λόγος	λόγος	n-s---mn-	n-s---mn-	
7	ὁ	l-s---mn-	ὁ	ὁ	l-s---mn-	l-s---mn-	
8	μέλλω	v-sppamn-	μέλλω	μέλλω	v-sppamn-	v-sppamn-	
9	ἀναγιγνώσκω	v--fnp---	ἀναγιγνώσκω	ἀναγιγνώσκω	v--fnp---	v--fnp---	
10	ὁ	l-p---nd-	ὁ	ὁ	l-p---md-	l-p---nd-	
11	ἤ	c--------	ἤ1	ἤ	d--------	c--------	
12	πρός	r--------	πρός	πρός	r--------	r--------	
13	ὁ	l-p---ma-	ὁ	ὁ	l-p---ma-	l-p---ma-	
14	ἀγών	n-p---ma-	ἀγών	ἀγών	n-p---ma-	n-p---ma-	
15	ἤ	c--------	ἤ1	ἤ	c--------	c--------	
16	πρός	r--------	πρός	πρός	r--------	r--------	
17	ὁ	l-p---fa-	ὁ	ὁ	l-p---fa-	l-p---fa-	
18	ἐπίδειξις	n-p---fa-	ἐπίδειξις	ἐπίδειξις	n-p---fa-	n-p---fa-	
19	γίγνομαι	v-pppmnd-	γίγνομαι	γίγνομαι	v-pppend-	v-pppmnd-	
20	,	u--------	,	,	u--------	u--------	
21	οὐδείς	p-s---na-	οὐδείς	οὐδείς	p-s---na-	p-s---na-	
22	ἄν	g--------	ἄν	ἄν	d--------	g--------	
23	οἴομαι	v1spim---	οἴομαι	οἴομαι	v1spie---	v1spim---	
24	προδιαλέγω	v--anp---	πρόδιαλέγω	προδιαλέγω	v--anp---	v--anp---	
25	περί	r--------	περί	περί	r--------	r--------	
26	αὐτός	p-s---mg-	αὐτός	αὐτός	p-s---mg-	p-s---mg-	
27	·	u--------	·	·	u--------	u--------	
28	νῦν	d--------	νῦν	νῦν	d--------	d--------	
29	δέ	c--------	δέ	δέ	d--------	c--------	
30	διά	r--------	διά	διά	r--------	r--------	
31	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
32	καινότης	n-s---fa-	καινότης	καινότης	n-s---fa-	n-s---fa-	
33	καί	c--------	καί	καί	c--------	c--------	
34	ὁ	l-s---fa-	ὁ	ὁ	l-s---fa-	l-s---fa-	
35	διαφορά	n-s---fa-	διαφορά	διαφορά	n-s---fa-	n-s---fa-	
36	ἀναγκαῖος	a-s---nn-	ἀναγκαῖος	ἀναγκαῖος	a-s---nn-	a-s---nn-	
37	εἰμί	v3spia---	εἰμί	εἰμί	v3spia---	v3spia---	
38	προλέγω	v--ana---	προεῖπον	προλέγω	v--ana---	v--ana---	DISAGREE
39	ὁ	l-p---fa-	ὁ	ὁ	l-p---fa-	l-p---fa-	
40	αἰτία	n-p---fa-	αἰτία	αἰτία	n-p---fa-	n-p---fa-	
41	,	u--------	,	,	u--------	u--------	
