ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	ἐν	t_1	100674782	r--------	r--------		ἐν	ἐν		m|m|
1	2	πολλοῖς	t_2	100674783	a-p---nd-	a-p---nd-		πολύς	πολύς		m|m|
1	3	μέν	t_3	100674784	d--------	g--------		μέν	μέν		m|m|
1	4	,	t_4	100674785	u--------	u--------		,	,		m|m|
1	5	ὦ	t_5	100674786	i--------	i--------		ὦ	ὦ		m|m|
1	6	Δημόνικε	t_6	100674787	n-s---mv-	n-s---mv-		δημόνικος	Δημόνικος		m|m|
1	7	,	t_7	100674788	u--------	u--------		,	,		m|m|
1	8	πολὺ	t_8	100674789	a-s---na-	a-s---na-		πολύς	πολύς		m|m|
1	9	διεστώσας	t_9	100674790	v-prpafa-	v-prpafa-		διίστημι	διΐστημι		m|m|
1	10	εὑρήσομεν	t_10	100674791	v1pfia---	v1pfia---		εὑρίσκω	εὑρίσκω		m|m|
1	11	τάς	t_11	100674792	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	12	τε	t_12	100674793	d--------	c--------		τε	τε		m|m|
1	13	τῶν	t_13	100674794	l-p---ng-	l-p---mg-		ὁ	ὁ		m|m|
1	14	σπουδαίων	t_14	100674795	a-p---ng-	a-p---mg-		σπουδαῖος	σπουδαῖος		m|m|
1	15	γνώμας	t_15	100674796	n-p---fa-	n-p---fa-		γνώμη	γνώμη		m|m|
1	16	καὶ	t_16	100674797	c--------	c--------		καί	καί		m|m|
1	17	τὰς	t_17	100674798	l-p---fa-	l-p---fa-		ὁ	ὁ		m|m|
1	18	τῶν	t_18	100674799	l-p---mg-	l-p---mg-		ὁ	ὁ		m|m|
1	19	φαύλων	t_19	100674800	a-p---mg-	a-p---mg-		φαῦλος	φαῦλος		m|m|
1	20	διανοίας	t_20	100674801	n-p---fa-	n-p---fa-		διάνοια	διάνοια		m|m|
1	21	·	t_21	100674802	u--------	u--------		·	·		m|m|
1	22	πολὺ	t_22	100674803	a-s---na-	a-s---na-		πολύς	πολύς		m|m|
