ref	idx	token	oga_id	glaux_id	oga_postag	glaux_postag	gorman_postag	oga_lemma	glaux_lemma	gorman_lemma	mismatch_oga_gorman|mismatch_glaux_gorman|mismatch_oga_glaux
1	1	πολλήν	t_1	102466465	a-s---fa-	a-s---fa-		πολύς	πολύς		m|m|
1	2	μοι	t_2	102466466	p1s---md-	p1s---cd-		ἐγώ	ἐγώ		m|m|
1	3	ἀπορίαν	t_3	102466467	n-s---fa-	n-s---fa-		ἀπορία	ἀπορία		m|m|
1	4	παρέχει	t_4	102466468	v3spia---	v3spia---		παρέχω	παρέχω		m|m|
1	5	ὁ	t_5	102466469	l-s---mn-	l-s---mn-		ὁ	ὁ		m|m|
1	6	ἀγὼν	t_6	102466470	n-s---mn-	n-s---mn-		ἀγών	ἀγών		m|m|
1	7	οὑτοσί	t_7	102466471	a-s---mn-	p-s---mn-		οὗτος	οὗτος		m|m|
1	8	,	t_8	102466472	u--------	u--------		,	,		m|m|
1	9	ὦ	t_9	102466473	i--------	i--------		ὦ	ὦ		m|m|
1	10	ἄνδρες	t_10	102466474	n-p---mv-	n-p---mv-		ἀνήρ	ἀνήρ		m|m|
1	11	δικασταί	t_11	102466475	n-p---mv-	n-p---mv-		δικαστής	δικαστής		m|m|
1	12	,	t_12	102466476	u--------	u--------		,	,		m|m|
1	13	ὅταν	t_13	102466477	c--------	c--------		ὅταν	ὅταν		m|m|
1	14	ἐνθυμηθῶ	t_14	102466478	v1sase---	v1sasm---		ἐνθυμέομαι	ἐνθυμέομαι		m|m|
1	15	ὅτι	t_15	102466479	c--------	c--------		ὅτι	ὅτι		m|m|
1	16	,	t_16	102466480	u--------	u--------		,	,		m|m|
1	17	ἐὰν	t_17	102466481	c--------	c--------		ἐάν	ἐάν		m|m|
1	18	ἐγὼ	t_18	102466482	p1s---mn-	p1s---cn-		ἐγώ	ἐγώ		m|m|
1	19	μὲν	t_19	102466483	d--------	g--------		μέν	μέν		m|m|
1	20	μὴ	t_20	102466484	d--------	d--------		μή	μή		m|m|
1	21	νῦν	t_21	102466485	d--------	d--------		νῦν	νῦν		m|m|
1	22	εὖ	t_22	102466486	d--------	d--------		εὖ	εὖ		m|m|
1	23	εἴπω	t_23	102466487	v1sasa---	v1sasa---		εἶπον	λέγω		m|m|@
1	24	,	t_24	102466488	u--------	u--------		,	,		m|m|
1	25	οὐ	t_25	102466489	d--------	d--------		οὐ	οὐ		m|m|
1	26	μόνον	t_26	102466490	a-s---na-	d--------		μόνος	μόνος		m|m|
1	27	ἐγὼ	t_27	102466491	p1s---mn-	p1s---cn-		ἐγώ	ἐγώ		m|m|
1	28	ἀλλὰ	t_28	102466492	c--------	b--------		ἀλλά	ἀλλά		m|m|
1	29	καὶ	t_29	102466493	d--------	d--------		καί	καί		m|m|
1	30	ὁ	t_30	102466494	l-s---mn-	l-s---mn-		ὁ	ὁ		m|m|
1	31	πατὴρ	t_31	102466495	n-s---mn-	n-s---mn-		πατήρ	πατήρ		m|m|
1	32	δόξει	t_32	102466496	v3sfia---	v3sfia---		δοκέω	δοκέω		m|m|
1	33	ἄδικος	t_33	102466497	a-s---mn-	a-s---mn-		ἄδικος	ἄδικος		m|m|
1	34	εἶναι	t_34	102466498	v--pna---	v--pna---		εἰμί	εἰμί		m|m|
1	35	,	t_35	102466499	u--------	u--------		,	,		m|m|
1	36	καὶ	t_36	102466500	c--------	b--------		καί	καί		m|m|
1	37	τῶν	t_37	102466501	l-p---ng-	l-p---ng-		ὁ	ὁ		m|m|
1	38	ὄντων	t_38	102466502	v-pppang-	v-pppang-		εἰμί	εἰμί		m|m|
1	39	ἁπάντων	t_39	102466503	a-p---ng-	a-p---ng-		ἅπας	ἅπας		m|m|
