ref	idx	token	oga_id	oga_postag	gorman_postag	oga_lemma	gorman_lemma	mismatch
1.1.1	1	Θουκυδίδης	t_1	n-s---mn-	n-s---mn-	θουκυδίδης	Θουκυδίδης	@
1.1.1	2	Ἀθηναῖος	t_2	a-s---mn-	n-s---mn-	ἀθηναῖος	Ἀθηναῖος	@
1.1.1	3	ξυνέγραψε	t_3	v3saia---	v3saia---	συγγράφω	συγγράφω	
1.1.1	4	τὸν	t_4	l-s---ma-	l-s---ma-	ὁ	ὁ	
1.1.1	5	πόλεμον	t_5	n-s---ma-	n-s---ma-	πόλεμος	πόλεμος	
1.1.1	6	τῶν	t_6	l-p---mg-	l-p---mg-	ὁ	ὁ	
1.1.1	7	Πελοποννησίων	t_7	n-p---mg-	n-p---mg-	πελοποννήσιοι	Πελοποννήσιοι	@
1.1.1	8	καὶ	t_8	c--------	c--------	καί	καί	
1.1.1	9	Ἀθηναίων	t_9	n-p---mg-	n-p---mg-	ἀθήναιος	Ἀθήναιος	@
1.1.1	10	,	t_10	u--------	u--------	,	punc1	
1.1.1	11	ὡς	t_11	c--------	c--------	ὡς	ὡς	
1.1.1	12	ἐπολέμησαν	t_12	v3paia---	v3paia---	πολεμέω	πολεμέω	
1.1.1	13	πρὸς	t_13	r--------	r--------	πρός	πρός	
1.1.1	14	ἀλλήλους	t_14	p-p---ma-	p-p---ma-	ἀλλήλων	ἀλλήλων	
1.1.1	15	,	t_15	u--------	u--------	,	punc1	
1.1.1	16	ἀρξάμενος	t_16	v-sapmmn-	v-sapmmn-	ἄρχω	ἄρχω	
1.1.1	17	εὐθὺς	t_17	d--------	d--------	εὐθύς2	εὐθύς2	
1.1.1	18	καθισταμένου	t_18	v-sppemg-	v-sppeng-	καθίστημι	καθιστάω	@
1.1.1	19	καὶ	t_19	c--------	c--------	καί	καί	
1.1.1	20	ἐλπίσας	t_20	v-sapamn-	v-sapamn-	ἐλπίζω	ἐλπίζω	
1.1.1	21	μέγαν	t_21	a-s---ma-	a-s---ma-	μέγας	μέγας	
1.1.1	22	τε	t_22	d--------	d--------	τε	τε	
1.1.1	23	ἔσεσθαι	t_23	v--fnm---	v--fnm---	εἰμί	εἰμί	
1.1.1	24	καὶ	t_24	c--------	c--------	καί	καί	
1.1.1	25	ἀξιολογώτατον	t_25	a-s---mas	a-s---mas	ἀξιόλογος	ἀξιόλογος	
1.1.1	26	τῶν	t_26	l-p---ng-	l-p---mg-	ὁ	ὁ	@
1.1.1	27	προγεγενημένων	t_27	v-prpeng-	v-prpemg-	προγίγνομαι	προγίγνομαι	@
1.1.1	28	,	t_28	u--------	u--------	,	punc1	
1.1.1	29	τεκμαιρόμενος	t_29	v-sppemn-	v-sppemn-	τεκμαίρομαι	τεκμαίρομαι	
1.1.1	30	ὅτι	t_30	c--------	c--------	ὅτι	ὅτι2	@
1.1.1	31	ἀκμάζοντές	t_31	v-pppamn-	v-pppamn-	ἀκμάζω	ἀκμάζω	
1.1.1	32	τε	t_32	d--------	d--------	τε	τε	
1.1.1	33	ᾖσαν	t_33	v3piia---	v3piia---	εἶμι	εἶμι	
1.1.1	34	ἐς	t_34	r--------	r--------	εἰς	εἰς	
1.1.1	35	αὐτὸν	t_35	p-s---ma-	a-s---ma_	αὐτός	αὐτός	@
1.1.1	36	ἀμφότεροι	t_36	a-p---mn-	a-p---mn-	ἀμφότερος	ἀμφότερος	
1.1.1	37	παρασκευῇ	t_37	n-s---fd-	n-s---fd-	παρασκευή	παρασκευή	
1.1.1	38	τῇ	t_38	l-s---fd-	l-s---fd-	ὁ	ὁ	
1.1.1	39	πάσῃ	t_39	a-s---fd-	a-s---fd-	πᾶς	πᾶς	
1.1.1	40	καὶ	t_40	c--------	c--------	καί	καί	
1.1.1	41	τὸ	t_41	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	42	ἄλλο	t_42	a-s---na-	a-s---na_	ἄλλος	ἄλλος	@
1.1.1	43	Ἑλληνικὸν	t_43	a-s---na-	a-s---na-	ἑλληνικός	Ἑλληνικός	@
1.1.1	44	ὁρῶν	t_44	v-sppamn-	v-sppamn-	ὁράω	ὁράω	
1.1.1	45	ξυνιστάμενον	t_45	v-sppena-	v-sppena-	συνίστημι	καθίστημι	@
1.1.1	46	πρὸς	t_46	r--------	r--------	πρός	πρός	
1.1.1	47	ἑκατέρους	t_47	a-p---ma-	a-p---ma-	ἑκάτερος	ἑκάτερος	
1.1.1	48	,	t_48	u--------	u--------	,	punc1	
1.1.1	49	τὸ	t_49	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	50	μὲν	t_50	d--------	d--------	μέν	μέν	
1.1.1	51	εὐθύς	t_51	d--------	d--------	εὐθύς	εὐθύς2	@
1.1.1	52	,	t_52	u--------	u--------	,	punc1	
1.1.1	53	τὸ	t_53	l-s---na-	l-s---na-	ὁ	ὁ	
1.1.1	54	δὲ	t_54	c--------	c--------	δέ	δέ	
1.1.1	55	καὶ	t_55	d--------	d--------	καί	καί	
1.1.1	56	διανοούμενον	t_56	v-sppena-	v-sppena-	διανοέομαι	διανοέομαι	
1.1.1	57	.	t_57	u--------	u--------	.	punc1	
1.1.2	1	κίνησις	t_58	n-s---fn-	n-s---fn-	κίνησις	κίνησις	
1.1.2	2	γὰρ	t_59	d--------	d--------	γάρ	γάρ	
1.1.2	3	αὕτη	t_60	p-s---fn-	a-s---fn_	οὗτος	οὗτος	@
1.1.2	4	μεγίστη	t_61	a-s---fns	a-s---fn-	μέγας	μέγας	@
1.1.2	5	δὴ	t_62	d--------	d--------	δή	δή	
1.1.2	6	τοῖς	t_63	l-p---md-	l-p---md-	ὁ	ὁ	
1.1.2	7	Ἕλλησιν	t_64	n-p---md-	n-p---md-	ἕλλην	Ἕλλην	@
1.1.2	8	ἐγένετο	t_65	v3saim---	v3saim---	γίγνομαι	γίγνομαι	
1.1.2	9	καὶ	t_66	c--------	c--------	καί	καί	
1.1.2	10	μέρει	t_67	n-s---nd-	n-s---nd-	μέρος	μέρος	
1.1.2	11	τινὶ	t_68	a-s---nd-	a-s---nd_	τις	τις	@
1.1.2	12	τῶν	t_69	l-p---mg-	l-p---mg-	ὁ	ὁ	
1.1.2	13	βαρβάρων	t_70	n-p---mg-	n-p---mg-	βάρβαρος	βάρβαρος	
1.1.2	14	,	t_71	u--------	u--------	,	punc1	
1.1.2	15	ὡς	t_72	c--------	c--------	ὡς	ὡς	
1.1.2	16	δὲ	t_73	c--------	d--------	δέ	δέ	@
1.1.2	17	εἰπεῖν	t_74	v--ana---	v--ana---	εἶπον	εἶπον	
1.1.2	18	καὶ	t_75	d--------	c--------	καί	καί	@
1.1.2	19	ἐπὶ	t_76	r--------	r--------	ἐπί	ἐπί	
1.1.2	20	πλεῖστον	t_77	a-s---na-	a-s---na-	πλεῖστος	πλεῖστος	
1.1.2	21	ἀνθρώπων	t_78	n-p---mg-	n-p---mg-	ἄνθρωπος	ἄνθρωπος	
1.1.2	22	.	t_79	u--------	u--------	.	punc1	
1.1.3	1	τὰ	t_80	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	2	γὰρ	t_81	d--------	d--------	γάρ	γάρ	
1.1.3	3	πρὸ	t_82	r--------	r--------	πρό	πρό	
1.1.3	4	αὐτῶν	t_83	p-p---ng-	p-p---ng-	αὐτός	αὐτός	
1.1.3	5	καὶ	t_84	c--------	c--------	καί	καί	
1.1.3	6	τὰ	t_85	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	7	ἔτι	t_86	d--------	d--------	ἔτι	ἔτι	
1.1.3	8	παλαίτερα	t_87	a-p---nac	a-p---nac	παλαιός	παλαιός	
1.1.3	9	σαφῶς	t_88	d--------	d--------	σαφής	σαφής	
1.1.3	10	μὲν	t_89	d--------	d--------	μέν	μέν	
1.1.3	11	εὑρεῖν	t_90	v--ana---	v--ana---	εὑρίσκω	εὑρίσκω	
1.1.3	12	διὰ	t_91	r--------	r--------	διά	διά	
1.1.3	13	χρόνου	t_92	n-s---mg-	n-s---mg-	χρόνος	χρόνος	
1.1.3	14	πλῆθος	t_93	n-s---na-	n-s---na-	πλῆθος	πλῆθος	
1.1.3	15	ἀδύνατα	t_94	a-p---nn-	a-p---nn-	ἀδύνατος	ἀδύνατος	
1.1.3	16	ἦν	t_95	v3siia---	v3siia---	εἰμί	εἰμί	
1.1.3	17	,	t_96	u--------	u--------	,	punc1	
1.1.3	18	ἐκ	t_97	r--------	r--------	ἐκ	ἐκ	
1.1.3	19	δὲ	t_98	c--------	c--------	δέ	δέ	
1.1.3	20	τεκμηρίων	t_99	n-p---ng-	n-p---ng-	τεκμήριον	τεκμήριον	
1.1.3	21	ὧν	t_100	p-p---ng-	p-p---ng-	ὅς	ὅς	
1.1.3	22	ἐπὶ	t_101	r--------	r--------	ἐπί	ἐπί	
1.1.3	23	μακρότατον	t_102	a-s---nas	a-s---nas	μακρός	μακρός	
1.1.3	24	σκοποῦντί	t_103	v-sppann-	v-sppamd-	σκοπέω	σκοπέω	@
1.1.3	25	μοι	t_104	p1s---md-	p1s---md-	ἐγώ	ἐγώ	
1.1.3	26	πιστεῦσαι	t_105	v--ana---	v--ana---	πιστεύω	πιστεύω	
1.1.3	27	ξυμβαίνει	t_106	v3spia---	v3spia---	συμβαίνω	συμβαίνω	
1.1.3	28	οὐ	t_107	d--------	d--------	οὐ	οὐ	
1.1.3	29	μεγάλα	t_108	a-p---na-	a-p---na-	μέγας	μέγας	
1.1.3	30	νομίζω	t_109	v1spia---	v1spia---	νομίζω	νομίζω	
1.1.3	31	γενέσθαι	t_110	v--anm---	v--anm---	γίγνομαι	γίγνομαι	
1.1.3	32	οὔ	t_111	d--------	d--------	οὐ	οὐ	
1.1.3	33	τε	t_112	d--------	d--------	τε	τε	
1.1.3	34	κατὰ	t_113	r--------	r--------	κατά	κατά	
1.1.3	35	τοὺς	t_114	l-p---ma-	l-p---ma-	ὁ	ὁ	
1.1.3	36	πολέμους	t_115	n-p---ma-	n-p---ma-	πόλεμος	πόλεμος	
1.1.3	37	οὔ	t_116	d--------	d--------	οὐ	οὐ	
1.1.3	38	τε	t_117	c--------	c--------	τε	τε	
1.1.3	39	ἐς	t_118	r--------	r--------	εἰς	εἰς	
1.1.3	40	τὰ	t_119	l-p---na-	l-p---na-	ὁ	ὁ	
1.1.3	41	ἄλλα	t_120	p-p---na-	p-p---na-	ἄλλος	ἄλλος	
1.1.3	42	.	t_121	u--------	u--------	.	punc1	
1.2.1	1	φαίνεται	t_122	v3spie---	v3spie---	φαίνω	φαίνω	
1.2.1	2	γὰρ	t_123	d--------	d--------	γάρ	γάρ	
1.2.1	3	ἡ	t_124	l-s---fn-	l-s---fn-	ὁ	ὁ	
1.2.1	4	νῦν	t_125	d--------	d--------	νῦν	νῦν	
1.2.1	5	Ἑλλὰς	t_126	n-s---fn-	n-s---fn-	ἑλλάς	Ἑλλάς	@
1.2.1	6	καλουμένη	t_127	v-sppefn-	v-sppefn-	καλέω	καλέω	
1.2.1	7	οὐ	t_128	d--------	d--------	οὐ	οὐ	
1.2.1	8	πάλαι	t_129	d--------	d--------	πάλαι	πάλαι	
1.2.1	9	βεβαίως	t_130	d--------	d--------	βέβαιος	βέβαιος	
1.2.1	10	οἰκουμένη	t_131	v-sppefn-	v-sppefn_	οἰκέω	οἰκέω	@
1.2.1	11	,	t_132	u--------	u--------	,	punc1	
1.2.1	12	ἀλλὰ	t_133	c--------	c--------	ἀλλά	ἀλλὰ	@
1.2.1	13	μεταναστάσεις	t_134	a-p---fn-	n-p---fn-	μετανίστημι	μετανάστασις	@
1.2.1	14	τε	t_135	d--------	d--------	τε	τε	
1.2.1	15	οὖσαι	t_136	v-pppafn-	v-pppafn-	εἰμί	εἰμί	
1.2.1	16	τὰ	t_137	l-p---na-	l-p---na-	ὁ	ὁ	
1.2.1	17	πρότερα	t_138	a-p---na-	a-p---na-	πρότερος	πρότερος	
1.2.1	18	καὶ	t_139	c--------	c--------	καί	καί	
1.2.1	19	ῥᾳδίως	t_140	d--------	d--------	ῥᾴδιος	ῥᾴδιος	@
1.2.1	20	ἕκαστοι	t_141	a-p---mn-	a-p---mn-	ἕκαστος	ἕκαστος	
1.2.1	21	τὴν	t_142	l-s---fa-	l-s---fa-	ὁ	ὁ	
1.2.1	22	ἑαυτῶν	t_143	p-p---mg-	p-p---mg-	ἑαυτοῦ	ἑαυτοῦ	
1.2.1	23	ἀπολείποντες	t_144	v-pppamn-	v-pppamn-	ἀπολιμπάνω	ἀπολιμπάνω	
1.2.1	24	βιαζόμενοι	t_145	v-pppemn-	v-pppemn-	βιάζω	βιάζω	
1.2.1	25	ὑπό	t_146	r--------	r--------	ὑπό	ὑπό	
1.2.1	26	τινων	t_147	p-p---mg-	p-p---mg-	τις	τις	
1.2.1	27	αἰεὶ	t_148	d--------	d--------	ἀεί	ἀεί	
1.2.1	28	πλειόνων	t_149	a-p---mgc	a-p---mgc	πλείων	πλείων	
