1	<p rend="align(indent)"> μαρτύρων μὲν οὐκ ἀπορίαν μοι ἔσεσθαι δοκῶ, ὦ ἄνδρες δικασταί· πολλοὺς γὰρ ὑμῶν ὁρῶ δικάζοντας τῶν τότε παρόντων, ὅτε Λυσίθεος Θεόμνηστον εἰσήγγελλε τὰ ὅπλα ἀποβεβληκότα, οὐκ ἐξὸν αὐτῷ, δημηγορεῖν· ἐν ἐκείνῳ γὰρ τῷ ἀγῶνι τὸν πατέρα μʼ ἔφασκεν ἀπεκτονέναι τὸν ἐμαυτοῦ. ἐγὼ δʼ,</p>
2	<p>εἰ μὲν τὸν ἑαυτοῦ με ἀπεκτονέναι ᾐτιᾶτο, συγγνώμην ἂν εἶχον αὐτῷ τῶν εἰρημένων (φαῦλον γὰρ αὐτὸν καὶ οὐδενὸς ἄξιον ἡγούμην)· οὐδʼ εἴ τι ἄλλο τῶν ἀπορρήτων ἤκουσα, οὐκ ἂν ἐπεξῆλθον αὐτῷ (ἀνελευθέρου γὰρ καὶ λίαν φιλοδίκου εἶναι νομίζω κακηγορίας δικάζεσθαι)·</p>
3	<p>νυνὶ δὲ αἰσχρόν μοι εἶναι δοκεῖ τοῦ πατρός, οὕτω πολλοῦ ἀξίου γεγενημένου καὶ ὑμῖν καὶ τῇ πόλει, μὴ τιμωρήσασθαι τὸν ταῦτʼ εἰρηκότα, καὶ παρʼ ὑμῶν εἰδέναι βούλομαι πότερον δώσει δίκην, ἢ τούτῳ μόνῳ Ἀθηναίων ἐξαίρετόν ἐστι καὶ ποιεῖν καὶ λέγειν παρὰ τοὺς νόμους ὅ τι ἂν βούληται.</p>
4	<p rend="align(indent)"> ἐμοὶ γάρ, ὦ ἄνδρες δικασταί, ἔτη ἐστὶ <add>δύο καὶ</add> τριάκοντα, ἐξ ὅτου <add>δʼ</add> ὑμεῖς κατεληλύθατε, εἰκοστὸν τουτί. φαίνομαι οὖν τρισκαιδεκέτης ὢν ὅτε ὁ πατὴρ ὑπὸ τῶν τριάκοντα ἀπέθνησκε. ταύτην δὲ ἔχων τὴν ἡλικίαν οὔτε τί ἔστιν ὀλιγαρχία ἠπιστάμην, οὔτε ἂν ἐκείνῳ ἀδικουμένῳ ἐδυνάμην βοηθῆσαι.</p>
5	<p>καὶ μὲν δὴ οὐκ ὀρθῶς τῶν χρημάτων ἕνεκα ἐπεβούλευσα <add>ἂν</add> αὐτῷ· ὁ γὰρ πρεσβύτερος ἀδελφὸς Πανταλέων ἅπαντα παρέλαβε, καὶ ἐπιτροπεύσας ἡμᾶς τῶν πατρῴων ἀπεστέρησεν, ὥστε πολλῶν ἕνεκα, ὦ ἄνδρες δικασταί, προσήκει μοι αὐτὸν βούλεσθαι ζῆν. ἀνάγκη μὲν οὖν περὶ αὐτῶν μνησθῆναι, οὐδὲν δὲ δεῖ πολλῶν λόγων· σχεδὸν <add>γὰρ</add> ἐπίστασθε ἅπαντες ὅτι ἀληθῆ λέγω. ὅμως δὲ μάρτυρας αὐτῶν παρέξομαι.</p>
6	<p rend="align(center)"><label>Μάρτυρες</label></p>
6	<p rend="align(indent)">ἴσως τοίνυν, ὦ ἄνδρες δικασταί, περὶ τούτων μὲν οὐδὲν ἀπολογήσεται, ἐρεῖ δὲ πρὸς ὑμᾶς ἅπερ ἐτόλμα λέγειν καὶ πρὸς τὸν διαιτητήν, ὡς οὐκ ἔστι τῶν ἀπορρήτων, ἐάν τις εἴπῃ τὸν πατέρα ἀπεκτονέναι· τὸν γὰρ νόμον οὐ ταῦτʼ ἀπαγορεύειν, ἀλλʼ ἀνδροφόνον οὐκ ἐᾶν λέγειν.</p>
7	<p>ἐγὼ δὲ οἶμαι ὑμᾶς, ὦ ἄνδρες δικασταί, οὐ περὶ τῶν ὀνομάτων διαφέρεσθαι ἀλλὰ τῆς τούτων διανοίας, καὶ πάντας εἰδέναι, ὅτι ὅσοι <add>ἀπεκτόνασί τινας, καὶ ἀνδροφόνοι εἰσί, καὶ ὅσοι</add> ἀνδροφόνοι εἰσί, καὶ ἀπεκτόνασί τινας. πολὺ γὰρ ἔργον ἦν τῷ νομοθέτῃ ἅπαντα τὰ ὀνόματα γράφειν ὅσα τὴν αὐτὴν δύναμιν ἔχει· ἀλλὰ περὶ ἑνὸς εἰπὼν περὶ πάντων ἐδήλωσεν.</p>
8	<p>οὐ γὰρ δήπου, ὦ Θεόμνηστε, εἰ μέν τίς σε εἴποι πατραλοίαν ἢ μητραλοίαν, ἠξίους ἂν αὐτὸν ὀφλεῖν σοι δίκην, εἰ δέ τις εἴποι ὡς τὴν τεκοῦσαν ἢ τὸν φύσαντα ἔτυπτες, ᾤου ἂν αὐτὸν ἀζήμιον δεῖν εἶναι ὡς οὐδὲν τῶν ἀπορρήτων εἰρηκότα.</p>
9	<p>ἡδέως γὰρ ἄν σου πυθοίμην (περὶ τοῦτο γὰρ δεινὸς εἶ καὶ μεμελέτηκας καὶ ποιεῖν καὶ λέγειν)· εἴ τίς σε εἴποι ῥῖψαι τὴν ἀσπίδα (ἐν δὲ τῷ νόμῳ εἴρηται, <q>ἐάν τις φάσκῃ ἀποβεβληκέναι, ὑπόδικον εἶναι</q>), οὐκ ἂν ἐδικάζου αὐτῷ ἀλλʼ ἐξήρκει ἄν σοι ἐρριφέναι τὴν ἀσπίδα λέγοντι οὐδέν σοι μέλειν;</p>
